# What each file asks OpenCV for (P7-T01)

Generated by the inventory pass of P7-T01, from `git grep -ln "opencv2/"`
over `library/`, `tools/`, `plugins/` and `python/`. The areas are
`lite-removals.md` section 2's. `plugins/` is in scope even though the plan's
task text names only `library/` and `tools/`: phase 2 has not moved those
directories yet, so most of what phase 7 describes still lives there.

`plugins/pytorch/learn` is excluded -- the python packages vendored there
carry their own OpenCV and become wheels in phase 9.

## Files per area

| Area | Files |
| `cv::abs` | 1 |
| `cv::absdiff` | 1 |
| `cv::multiply` | 1 |
| `cv::sqrt` | 1 |
| `cv::sum` | 1 |
| `cv::HOUGH_GRADIENT` | 1 |
| `cv::HoughCircles` | 1 |
| `cv::KeyPoints` | 1 |
| `cv::COLOR_BGR2RGB` | 1 |
| `cv::COLOR_BGRA2RGBA` | 1 |
| `cv::UMatData` | 1 |
| `cv::cv2eigen` | 1 |
| `cv::eigen2cv` | 1 |
| `cv::imshow` | 1 |
| `cv::namedWindow` | 1 |
| `cv::waitKey` | 1 |
| `cv::COLOR_BGRA2BGR` | 1 |
| `cv::COLOR_GRAY2BGR` | 1 |
| `cv::TM_CCOEFF_NORMED` | 1 |
| `cv::hconcat` | 1 |
| `cv::polylines` | 1 |
| `cv::CHAIN_APPROX_NONE` | 1 |
| `cv::MORPH_CROSS` | 1 |
| `cv::PCA` | 1 |
| `cv::bitwise_or` | 1 |
| `cv::convexHull` | 1 |
| `cv::countNonZero` | 1 |
| `cv::minAreaRect` | 1 |
| `cv::IMREAD_ANYDEPTH` | 1 |
| `cv::IMREAD_GRAYSCALE` | 1 |
| `cv::THRESH_TRUNC` | 1 |
| `cv::exp` | 1 |
| `cv::mean` | 1 |
| `cv::CALIB_CB_ADAPTIVE_THRESH` | 1 |
| `cv::COLOR_BayerBG2GRAY` | 1 |
| `cv::SimpleBlobDetector` | 1 |
| `cv::bitwise_not` | 1 |
| `cv::cornerSubPix` | 1 |
| `cv::findChessboardCorners` | 1 |
| `cv::Canny` | 1 |
| `cv::magnitude` | 1 |
| `cv::phase` | 1 |
| `cv::COLOR_BGR2BGRA` | 1 |
| `cv::StereoBM` | 1 |
| `cv::StereoSGBM` | 1 |
| `cv::StereoMatcher` | 1 |
| `cv::COLOR_BGR2HLS` | 1 |
| `cv::COLOR_BGR2Luv` | 1 |
| `cv::COLOR_BGR2XYZ` | 1 |
| `cv::COLOR_BGR2YCrCb` | 1 |
| `cv::COLOR_HLS2BGR` | 1 |
| `cv::COLOR_HLS2RGB` | 1 |
| `cv::COLOR_HSV2RGB` | 1 |
| `cv::COLOR_Lab2RGB` | 1 |
| `cv::COLOR_Luv2BGR` | 1 |
| `cv::COLOR_Luv2RGB` | 1 |
| `cv::COLOR_RGB2HLS` | 1 |
| `cv::COLOR_RGB2HSV` | 1 |
| `cv::COLOR_RGB2Lab` | 1 |
| `cv::COLOR_RGB2Luv` | 1 |
| `cv::COLOR_RGB2XYZ` | 1 |
| `cv::COLOR_RGB2YCrCb` | 1 |
| `cv::COLOR_XYZ2BGR` | 1 |
| `cv::COLOR_XYZ2RGB` | 1 |
| `cv::COLOR_YCrCb2BGR` | 1 |
| `cv::COLOR_YCrCb2RGB` | 1 |
| `cv::COLOR_BayerBG2BGR` | 1 |
| `cv::COLOR_BayerGB2BGR` | 1 |
| `cv::COLOR_BayerGR2BGR` | 1 |
| `cv::COLOR_BayerRG2BGR` | 1 |
| `cv::DECOMP_SVD` | 1 |
| `cv::INTER_CUBIC` | 1 |
| `cv::invert` | 1 |
| `cv::fastNlMeansDenoisingColored` | 1 |
| `cv::medianBlur` | 1 |
| `cv::Sobel` | 1 |
| `cv::integral` | 1 |
| `cv::NORM_L2` | 1 |
| `cv::computeCorrespondEpilines` | 1 |
| `cv::initCameraMatrix2D` | 1 |
| `cv::CV_32F` | 1 |
| `cv::reprojectImageTo3D` | 1 |
| `cv::LINE_AA` | 1 |
| `cv::ROTATE_90_COUNTERCLOCKWISE` | 1 |
| `cv::rotate` | 1 |
| `cv::GC_BGD` | 1 |
| `cv::GC_FGD` | 1 |
| `cv::GC_INIT_WITH_MASK` | 1 |
| `cv::GC_PR_BGD` | 1 |
| `cv::GC_PR_FGD` | 1 |
| `cv::grabCut` | 1 |
| `cv::watershed` | 1 |
| `cv::warpPerspective` | 1 |


## The registered names that OpenCV backs

Resolved by preprocessing every `register_algorithms.cxx` with its own
target's include paths, so the registration macros are expanded and each
`add_factory` names a literal class, then following the class back to the
file that defines it. Cross-checked against `viame registry-dump`: every
pair below is one the install actually registers.

These are the names phase 7 has to keep working. A replacement registers
under the same name -- or the old name becomes an alias of a new one, as
phase 3 did for `vxl_*` -- and is held to the recording under it.

| Registered name | Interface | Implementation | Defined in |
|---|---|---|---|
| `add_keypoints_from_mask` | refine_detections | `add_keypoints_from_mask` | `plugins/opencv/add_keypoints_from_mask.h` |
| `darknet` | image_object_detector | `darknet_detector` | `plugins/darknet/darknet_detector.h` |
| `darknet` | train_detector | `darknet_trainer` | `plugins/darknet/darknet_trainer.h` |
| `detect_heat_map` | image_object_detector | `detect_heat_map` | `library/object_detectors/detect_heat_map.h` |
| `habcam` | split_image | `split_image_habcam` | `plugins/opencv/split_image_habcam.h` |
| `hierarchical_svm` | refine_detections | `classify_fish_hierarchical_svm` | `plugins/opencv/classify_fish_hierarchical_svm.h` |
| `hough_circle` | image_object_detector | `hough_circle_detector` | `library/object_detectors/hough_circle_detector.h` |
| `ocv` | draw_detected_object_set | `draw_detected_object_set` | `library/image_processing/draw_detected_object_set.h` |
| `ocv` | estimate_fundamental_matrix | `estimate_fundamental_matrix` | `library/image_processing/estimate_fundamental_matrix.h` |
| `ocv` | estimate_homography | `estimate_homography` | `library/image_processing/estimate_homography.h` |
| `ocv` | image_io | `image_io` | `library/video_io/ocv_image_io.h` |
| `ocv` | merge_images | `merge_images` | `library/image_processing/merge_images.h` |
| `ocv` | split_image | `split_image` | `library/image_processing/split_image.h` |
| `ocv` | warp_image | `warp_image_ocv` | `plugins/opencv/warp_image_ocv.h` |
| `ocv_3frame_differencing` | detect_motion | `detect_motion_3frame_differencing` | `library/object_detectors/detect_motion_3frame_differencing.h` |
| `ocv_SIFT` | detect_features | `detect_features_SIFT` | `library/image_processing/feature_detect_extract_SIFT.h` |
| `ocv_SIFT` | extract_descriptors | `extract_descriptors_SIFT` | `library/image_processing/feature_detect_extract_SIFT.h` |
| `ocv_SURF` | detect_features | `detect_features_SURF` | `library/image_processing/feature_detect_extract_SURF.h` |
| `ocv_SURF` | extract_descriptors | `extract_descriptors_SURF` | `library/image_processing/feature_detect_extract_SURF.h` |
| `ocv_channels` | split_image | `split_image_channels` | `library/image_processing/split_image_channels.h` |
| `ocv_color_correction` | image_filter | `apply_color_correction` | `plugins/opencv/apply_color_correction.h` |
| `ocv_convert_color` | image_filter | `convert_color_space` | `plugins/opencv/convert_color_space.h` |
| `ocv_debayer` | image_filter | `debayer_filter` | `plugins/opencv/debayer_filter.h` |
| `ocv_detect_calibration_targets` | image_object_detector | `detect_calibration_targets` | `plugins/opencv/detect_calibration_targets.h` |
| `ocv_enhancer` | image_filter | `enhance_images` | `plugins/opencv/enhance_images.h` |
| `ocv_grabcut` | refine_detections | `refine_detections_grabcut` | `plugins/opencv/refine_detections_grabcut.h` |
| `ocv_horizontally` | split_image | `split_image_horizontally` | `plugins/opencv/split_image_horizontally.h` |
| `ocv_optimize_stereo_cameras` | optimize_cameras | `optimize_stereo_cameras` | `plugins/opencv/optimize_stereo_cameras.h` |
| `ocv_random_hue_shift` | image_filter | `random_hue_shift` | `plugins/opencv/random_hue_shift.h` |
| `ocv_stereo_disparity` | compute_stereo_depth_map | `compute_stereo_disparity` | `plugins/opencv/compute_stereo_disparity.h` |
| `ocv_watershed` | refine_detections | `refine_detections_watershed` | `plugins/opencv/refine_detections_watershed.h` |
| `ocv_windowed` | image_object_detector | `ocv_windowed_detector` | `plugins/opencv/windowed_detector.h` |
| `ocv_windowed` | refine_detections | `ocv_windowed_refiner` | `plugins/opencv/windowed_refiner.h` |
| `ocv_windowed` | train_detector | `ocv_windowed_trainer` | `plugins/opencv/windowed_trainer.h` |
| `ocv_write` | refine_detections | `refine_detections_write_to_disk` | `library/image_processing/refine_detections_write_to_disk.h` |
| `vxl_enhancer` | image_filter | `enhance_images` | `plugins/opencv/enhance_images.h` |

25 names across 16 interfaces.

## The processes OpenCV backs

`direct` means the process's own header or source includes `opencv2/`;
`library` means something else in the same directory does. The second is
not a weaker claim -- a process class usually keeps OpenCV out of its
header and reaches it through the algorithm it wraps, and the library is
the granularity phase 7 removes things at.

| Process | Reaches OpenCV | Defined in |
|---|---|---|
| `accumulate_image_statistics` | library | `plugins/core/accumulate_image_statistics_process.h` |
| `detect_in_subregions` | direct | `plugins/opencv/detect_in_subregions_process.h` |
| `detect_motion` | library | `library/object_detectors/detect_motion_process.h` |
| `draw_detected_object_set` | library | `library/image_processing/draw_detected_object_set_process.h` |
| `frame_list_input` | direct | `library/video_io/frame_list_process.h` |
| `image_file_reader` | direct | `library/video_io/image_file_reader_process.h` |
| `image_filter` | library | `library/image_processing/image_filter_process.h` |
| `image_object_detector` | library | `library/object_detectors/image_object_detector_process.h` |
| `image_to_image_set` | library | `plugins/core/image_to_image_set_process.h` |
| `image_viewer` | direct | `library/video_io/image_viewer_process.h` |
| `image_writer` | direct | `library/video_io/image_writer_process.h` |
| `measure_using_stereo` | direct | `plugins/opencv/measure_objects_process.h` |
| `merge_images` | library | `library/image_processing/merge_images_process.h` |
| `ocv_calibrate_single_camera` | direct | `plugins/opencv/calibrate_single_camera_process.h` |
| `ocv_pair_stereo_detections` | library | `plugins/opencv/pair_stereo_detections_process.h` |
| `ocv_pair_stereo_tracks` | direct | `plugins/opencv/pair_stereo_tracks_process.h` |
| `process_query_adaboost` | library | `plugins/opencv/process_query_process_adaboost.h` |
| `seagis_measurement` | direct | `plugins/seagis/seagis_measurement_process.h` (not registered by this install) |
| `split_image` | library | `library/image_processing/split_image_process.h` |
| `stabilize_image` | library | `library/image_processing/stabilize_image_process.h` |
| `template` | direct | `library/examples/template_process.h` |
| `video_input` | direct | `library/video_io/video_input_process.h` |
| `video_output` | library | `library/video_io/video_output_process.h` |

23 processes, 11 of them directly.
## Per file

### `library/examples/template_process.cxx`

Areas: 2.1 bridge

Includes: `opencv2/core/core.hpp`

Uses: bridge types only

### `library/image_processing/detect_features.cxx`

Areas: 2.1 bridge, 2.3 imgproc, 2.6 ml/features/seg

Includes: `opencv2/imgproc/imgproc.hpp`

Uses: `cv::KeyPoint`, `cv::THRESH_BINARY`, `cv::threshold`

### `library/image_processing/detect_features.h`

Areas: 2.1 bridge, 2.6 ml/features/seg

Includes: `opencv2/features2d/features2d.hpp`

Uses: `cv::FeatureDetector`

### `library/image_processing/draw_detected_object_set.cxx`

Areas: 2.1 bridge, drawing

Includes: `opencv2/core/core.hpp`, `opencv2/imgproc/imgproc.hpp`

Uses: `cv::FILLED`, `cv::FONT_HERSHEY_SIMPLEX`, `cv::addWeighted`, `cv::getTextSize`, `cv::putText`, `cv::rectangle`

### `library/image_processing/estimate_fundamental_matrix.cxx`

Areas: 2.1 bridge, 2.4 calib3d

Includes: `opencv2/calib3d/calib3d.hpp`

Uses: `cv::FM_RANSAC`, `cv::findFundamentalMat`

### `library/image_processing/estimate_homography.cxx`

Areas: 2.1 bridge, 2.4 calib3d

Includes: `opencv2/calib3d/calib3d.hpp`

Uses: `cv::RANSAC`, `cv::findHomography`

### `library/image_processing/extract_descriptors.h`

Areas: 2.1 bridge, 2.6 ml/features/seg

Includes: `opencv2/features2d/features2d.hpp`

Uses: `cv::DescriptorExtractor`

### `library/image_processing/feature_detect_extract_SIFT.cxx`

Areas: 2.6 ml/features/seg

Includes: `opencv2/core/version.hpp`, `opencv2/features2d.hpp`, `opencv2/nonfree/features2d.hpp`, `opencv2/xfeatures2d/nonfree.hpp`

Uses: `cv::DescriptorExtractor`, `cv::FeatureDetector`, `cv::SIFT`, `cv::xfeatures2d`

### `library/image_processing/feature_detect_extract_SIFT.h`

Areas: 2.1 bridge

Includes: `opencv2/opencv_modules.hpp`

Uses: bridge types only

### `library/image_processing/feature_detect_extract_SURF.cxx`

Areas: 2.6 ml/features/seg

Includes: `opencv2/nonfree/features2d.hpp`, `opencv2/xfeatures2d/nonfree.hpp`

Uses: `cv::DescriptorExtractor`, `cv::FeatureDetector`, `cv::SURF`, `cv::xfeatures2d`

### `library/image_processing/feature_detect_extract_SURF.h`

Areas: 2.1 bridge

Includes: `opencv2/opencv_modules.hpp`

Uses: bridge types only

### `library/image_processing/match_features.h`

Areas: 2.1 bridge, 2.6 ml/features/seg

Includes: `opencv2/features2d/features2d.hpp`

Uses: `cv::DMatch`

### `library/image_processing/merge_images.cxx`

Areas: 2.1 bridge, 2.3 imgproc

Includes: `opencv2/core/core.hpp`, `opencv2/imgproc/imgproc.hpp`

Uses: `cv::merge`, `cv::split`

### `library/image_processing/refine_detections_write_to_disk.cxx`

Areas: 2.1 bridge, 2.2 codecs

Includes: `opencv2/core/core.hpp`, `opencv2/imgcodecs.hpp`, `opencv2/imgproc/imgproc.hpp`

Uses: `cv::imwrite`

### `library/image_processing/split_image.cxx`

Areas: 2.1 bridge

Includes: `opencv2/core/core.hpp`, `opencv2/imgproc/imgproc.hpp`

Uses: bridge types only

### `library/image_processing/split_image_channels.cxx`

Areas: 2.1 bridge, 2.3 imgproc

Includes: `opencv2/core/core.hpp`, `opencv2/imgproc/imgproc.hpp`

Uses: `cv::split`

### `library/object_detectors/detect_heat_map.cxx`

Areas: 2.1 bridge, 2.2 codecs, 2.3 imgproc

Includes: `opencv2/imgproc/imgproc.hpp`, `opencv2/opencv.hpp`

Uses: `cv::BORDER_CONSTANT`, `cv::CHAIN_APPROX_SIMPLE`, `cv::NORM_MINMAX`, `cv::RETR_EXTERNAL`, `cv::THRESH_BINARY`, `cv::boundingRect`, `cv::boxFilter`, `cv::contourArea`, `cv::findContours`, `cv::imwrite`, `cv::minMaxLoc`, `cv::normalize`, `cv::pyrDown`, `cv::threshold`

### `library/object_detectors/detect_heat_map.h`

Areas: 2.1 bridge

Includes: `opencv2/opencv.hpp`

Uses: bridge types only

### `library/object_detectors/detect_motion_3frame_differencing.cxx`

Areas: 2.1 bridge, 2.2 codecs, 2.3 imgproc

Includes: `opencv2/imgproc/imgproc.hpp`, `opencv2/opencv.hpp`

Uses: `cv::MORPH_RECT`, `cv::THRESH_BINARY`, `cv::THRESH_TOZERO`, `cv::abs`, `cv::absdiff`, `cv::dilate`, `cv::erode`, `cv::getStructuringElement`, `cv::imwrite`, `cv::max`, `cv::minMaxLoc`, `cv::multiply`, `cv::split`, `cv::sqrt`, `cv::subtract`, `cv::sum`, `cv::threshold`

### `library/object_detectors/detect_motion_3frame_differencing.h`

Areas: 2.1 bridge

Includes: `opencv2/opencv.hpp`

Uses: bridge types only

### `library/object_detectors/hough_circle_detector.cxx`

Areas: 2.1 bridge, 2.3 imgproc

Includes: `opencv2/core/core.hpp`, `opencv2/imgproc/imgproc.hpp`

Uses: `cv::COLOR_BGR2GRAY`, `cv::GaussianBlur`, `cv::HOUGH_GRADIENT`, `cv::HoughCircles`

### `library/opencv_bridge/bounding_box.h`

Areas: 2.1 bridge

Includes: `opencv2/core.hpp`

Uses: bridge types only

### `library/opencv_bridge/descriptor_set.h`

Areas: 2.1 bridge, 2.6 ml/features/seg

Includes: `opencv2/features2d/features2d.hpp`

Uses: `cv::mat`

### `library/opencv_bridge/feature_set.h`

Areas: 2.6 ml/features/seg

Includes: `opencv2/features2d/features2d.hpp`

Uses: `cv::KeyPoint`, `cv::KeyPoints`

### `library/opencv_bridge/image_container.cxx`

Areas: 2.1 bridge, 2.3 imgproc

Includes: `opencv2/imgproc/imgproc.hpp`

Uses: `cv::COLOR_BGR2RGB`, `cv::COLOR_BGRA2RGBA`, `cv::cvtColor`

### `library/opencv_bridge/image_container.h`

Areas: 2.1 bridge

Includes: `opencv2/core/core.hpp`

Uses: `cv::mat`

### `library/opencv_bridge/mat_image_memory.h`

Areas: 2.1 bridge

Includes: `opencv2/core/core.hpp`

Uses: `cv::UMatData`

### `library/opencv_bridge/match_set.h`

Areas: 2.6 ml/features/seg

Includes: `opencv2/features2d/features2d.hpp`

Uses: `cv::DMatch`

### `library/opencv_bridge/matrix.h`

Areas: 2.1 bridge

Includes: `opencv2/core.hpp`

Uses: `cv::cv2eigen`, `cv::eigen2cv`

### `library/video_io/frame_list_process.cxx`

Areas: 2.1 bridge

Includes: `opencv2/highgui/highgui.hpp`

Uses: `cv::WINDOW_NORMAL`

### `library/video_io/image_file_reader_process.cxx`

Areas: 2.1 bridge

Includes: `opencv2/highgui/highgui.hpp`

Uses: `cv::WINDOW_NORMAL`

### `library/video_io/image_viewer_process.cxx`

Areas: 2.1 bridge, 2.3 imgproc, drawing

Includes: `opencv2/highgui/highgui.hpp`, `opencv2/imgproc/imgproc.hpp`

Uses: `cv::BORDER_CONSTANT`, `cv::FONT_HERSHEY_SIMPLEX`, `cv::WINDOW_NORMAL`, `cv::copyMakeBorder`, `cv::getTextSize`, `cv::imshow`, `cv::namedWindow`, `cv::putText`, `cv::waitKey`

### `library/video_io/image_writer_process.cxx`

Areas: 2.1 bridge

Includes: `opencv2/highgui/highgui.hpp`

Uses: bridge types only

### `library/video_io/ocv_image_io.cxx`

Areas: 2.1 bridge, 2.2 codecs

Includes: `opencv2/core/core.hpp`, `opencv2/imgcodecs.hpp`, `opencv2/imgproc/imgproc.hpp`

Uses: `cv::imread`, `cv::imwrite`

### `library/video_io/video_input_process.cxx`

Areas: 2.1 bridge

Includes: `opencv2/highgui/highgui.hpp`

Uses: `cv::WINDOW_NORMAL`

### `plugins/core/measurement_utilities.cxx`

Areas: 2.1 bridge, 2.2 codecs, 2.3 imgproc, 2.4 calib3d, drawing

Includes: `opencv2/imgcodecs.hpp`, `opencv2/imgproc/imgproc.hpp`

Uses: `cv::CALIB_ZERO_DISPARITY`, `cv::COLOR_BGR2GRAY`, `cv::COLOR_BGRA2BGR`, `cv::COLOR_BGRA2GRAY`, `cv::COLOR_GRAY2BGR`, `cv::FONT_HERSHEY_SIMPLEX`, `cv::INTER_LINEAR`, `cv::TM_CCOEFF_NORMED`, `cv::circle`, `cv::cvtColor`, `cv::hconcat`, `cv::imwrite`, `cv::initUndistortRectifyMap`, `cv::line`, `cv::matchTemplate`, `cv::minMaxLoc`, `cv::polylines`, `cv::projectPoints`, `cv::putText`, `cv::remap`, `cv::stereoRectify`, `cv::undistortPoints`

### `plugins/core/measurement_utilities.h`

Areas: 2.1 bridge, 2.3 imgproc, 2.4 calib3d

Includes: `opencv2/calib3d/calib3d.hpp`, `opencv2/core/core.hpp`

Uses: `cv::matchTemplate`

### `plugins/core/write_detected_object_set_viame_csv.cxx`

Areas: 2.1 bridge, 2.3 imgproc

Includes: `opencv2/core/core.hpp`, `opencv2/imgproc/imgproc.hpp`

Uses: `cv::CHAIN_APPROX_SIMPLE`, `cv::RETR_CCOMP`, `cv::approxPolyDP`, `cv::findContours`

### `plugins/core/write_object_track_set_viame_csv.cxx`

Areas: 2.1 bridge, 2.3 imgproc

Includes: `opencv2/core/core.hpp`, `opencv2/imgproc/imgproc.hpp`

Uses: `cv::CHAIN_APPROX_SIMPLE`, `cv::RETR_CCOMP`, `cv::approxPolyDP`, `cv::findContours`

### `plugins/darknet/darknet_custom_resize.cxx`

Areas: 2.1 bridge, 2.3 imgproc

Includes: `opencv2/imgproc/imgproc.hpp`

Uses: `cv::resize`

### `plugins/darknet/darknet_custom_resize.h`

Areas: 2.1 bridge

Includes: `opencv2/core/core.hpp`

Uses: bridge types only

### `plugins/darknet/darknet_detector.cxx`

Areas: 2.1 bridge, 2.3 imgproc

Includes: `opencv2/core/core.hpp`, `opencv2/imgproc/imgproc.hpp`

Uses: `cv::COLOR_GRAY2RGB`, `cv::cvtColor`

### `plugins/darknet/darknet_trainer.cxx`

Areas: 2.1 bridge, 2.3 imgproc

Includes: `opencv2/core/core.hpp`, `opencv2/highgui/highgui.hpp`, `opencv2/imgproc/imgproc.hpp`

Uses: `cv::COLOR_GRAY2RGB`, `cv::cvtColor`

### `plugins/opencv/adaboost_classifier.cxx`

Areas: 2.1 bridge, 2.5 FileStorage, 2.6 ml/features/seg

Includes: `opencv2/core/persistence.hpp`

Uses: `cv::FileStorage`, `cv::ml`

### `plugins/opencv/adaboost_classifier.h`

Areas: 2.1 bridge, 2.6 ml/features/seg

Includes: `opencv2/core.hpp`, `opencv2/ml.hpp`

Uses: `cv::ml`

### `plugins/opencv/add_keypoints_from_mask.cxx`

Areas: 2.1 bridge, 2.3 imgproc

Includes: `opencv2/imgproc/imgproc.hpp`

Uses: `cv::CHAIN_APPROX_NONE`, `cv::COLOR_BGR2GRAY`, `cv::MORPH_CROSS`, `cv::PCA`, `cv::RETR_EXTERNAL`, `cv::THRESH_BINARY`, `cv::bitwise_or`, `cv::convexHull`, `cv::countNonZero`, `cv::cvtColor`, `cv::dilate`, `cv::erode`, `cv::findContours`, `cv::getStructuringElement`, `cv::minAreaRect`, `cv::norm`, `cv::subtract`, `cv::threshold`

### `plugins/opencv/add_keypoints_from_mask.h`

Areas: 2.1 bridge

Includes: `opencv2/core/core.hpp`

Uses: bridge types only

### `plugins/opencv/apply_color_correction.cxx`

Areas: 2.1 bridge, 2.2 codecs, 2.3 imgproc

Includes: `opencv2/imgcodecs/imgcodecs.hpp`, `opencv2/imgproc/imgproc.hpp`, `opencv2/photo/photo.hpp`

Uses: `cv::CLAHE`, `cv::COLOR_BGR2GRAY`, `cv::COLOR_BGR2Lab`, `cv::COLOR_Lab2BGR`, `cv::GaussianBlur`, `cv::IMREAD_ANYDEPTH`, `cv::IMREAD_GRAYSCALE`, `cv::LUT`, `cv::MORPH_RECT`, `cv::NORM_MINMAX`, `cv::THRESH_TRUNC`, `cv::addWeighted`, `cv::createCLAHE`, `cv::cvtColor`, `cv::divide`, `cv::erode`, `cv::exp`, `cv::getStructuringElement`, `cv::imread`, `cv::mean`, `cv::merge`, `cv::normalize`, `cv::resize`, `cv::split`, `cv::threshold`

### `plugins/opencv/apply_color_correction.h`

Areas: 2.1 bridge

Includes: `opencv2/core/core.hpp`

Uses: bridge types only

### `plugins/opencv/calibrate_single_camera.cxx`

Areas: 2.1 bridge, 2.4 calib3d, 2.5 FileStorage

Includes: `opencv2/calib3d/calib3d.hpp`

Uses: `cv::FileStorage`

### `plugins/opencv/calibrate_single_camera.h`

Areas: 2.1 bridge

Includes: `opencv2/core/core.hpp`

Uses: bridge types only

### `plugins/opencv/calibrate_single_camera_process.cxx`

Areas: 2.1 bridge, 2.4 calib3d

Includes: `opencv2/calib3d/calib3d.hpp`, `opencv2/core/core.hpp`

Uses: bridge types only

### `plugins/opencv/calibrate_stereo_cameras.cxx`

Areas: 2.1 bridge, 2.3 imgproc, 2.4 calib3d, 2.5 FileStorage, 2.6 ml/features/seg

